"","property_name","city_class","room_types","image_count","property_type","service_value","Accept_Rate","Response_time","amenities_cnt","description_cnt","rm_price","similar_hotel_cnt","Kids","Adults","room_type_cat","city_class_cat"
"1","Sangsey Valley Resort","Urban","3 Bedded Non AC",3,"6","0",100,6,2,127,3167,2,"2","3",4,4
"2","Hotel Amantran Kanpur","Metropolitan","Double Non AC",0,"3","0",100,6,2,112,815,6,"2","2",15,1
"3","Hotel Krishna","Metropolitan","Double AC",18,"3","0",100,6,4,112,1624,14,"2","2",14,1
"4","The Riverwood Forest Retreats","Urban","Single AC",9,"3","0",100,6,7,129,3509,2,"2","1",17,4
"5","Hotel Vijay Inter Continental","Metropolitan","Double AC",5,"3","0",100,6,2,136,5802,3,"2","2",14,1
"6","Hotel Red Rose","Urban","Double AC",60,"3","0",100,6,5,110,1400,12,"2","2",14,4
"7","Hotel Inn Season","Metropolitan","Double AC",0,"3","0",100,6,2,96,4062,3,"2","2",14,1
"8","Velankanni Lake Resort","Semi-urban","Cottage",12,"6","0",100,6,2,112,2878,2,"2","1",12,3
"9","Hotel Novelty","Urban","Double Non AC",32,"3","0",100,24,2,104,979,9,"2","2",15,4
"10","Hotel Siddharth Kailash","Metropolitan","Double AC",41,"3","0",100,6,6,124,2445,12,"2","2",14,1
"11","Kapurthala Guest House","Urban","Double Non AC",1,"4","0",100,6,6,2,1039,10,"2","2",15,4
"12","Hotel Sonar Bangla","Semi-urban","Double Non AC",7,"3","0",100,6,2,123,2809,6,"2","2",15,3
"13","Hotel Ishani","Rural","Double Non AC",13,"3","0",60,24,2,102,950,11,"2","2",15,2
"14","Hotel Victoria","Rural","Double Non AC",11,"3","0",100,6,2,2,756,9,"2","2",15,2
"15","Royal Park Hotel","Urban","Single Non AC",8,"3","0",100,6,9,150,3986,2,"2","1",18,4
"16","Tranquility Homestay","Metropolitan","Double AC",7,"2","0",100,6,2,5,1134,10,"2","2",14,1
"17","Fun World","Metropolitan","Double Non AC",33,"3","0",100,6,2,10,2237,14,"2","2",15,1
"18","Hotel Ocean Grand","Urban","Double Non AC",0,"3","0",100,6,2,122,889,5,"2","2",15,4
"19","Renuka Lodge (Peddha Masjid Centre)","Urban","Single Non AC",9,"5","0",100,6,3,125,473,4,"1","1",18,4
"20","Hotel Samrat","Urban","One Day Use",56,"3","0",100,6,4,113,865,10,"2","0",16,4
"21","Yashoda Homes","Urban","Double AC",28,"3","0",100,6,4,164,1417,2,"1","2",14,4
"22","Shivam Paying Guest house","Metropolitan","Single Non AC",0,"4","0",100,6,2,110,445,13,"2","1",18,1
"23","Shahi Guest House","Metropolitan","Suite",14,"4","0",100,6,2,82,2667,3,"2","2",19,1
"24","Hotel Sahil Palace","Urban","Double AC",54,"3","0",100,6,2,102,834,10,"2","2",14,4
"25","Rathore Villas","Metropolitan","Double AC",14,"8","1",100,6,4,41,1179,7,"2","2",14,1
"26","Hotel Safari","Urban","Single Non AC",56,"3","0",100,6,3,141,307,2,"1","1",18,4
"27","Sunrise Guest House","Metropolitan","Double Non AC",18,"4","0",100,6,4,135,756,6,"2","2",15,1
"28","Hotel Ajay","Urban","Double Non AC",21,"3","0",100,6,3,97,1112,9,"2","2",15,4
"29","The Elgin Silver Oaks","Urban","Single Non AC",6,"3","0",100,6,2,115,6864,2,"2","1",18,4
"30","Hotel Swarna Palace (Near Trust Hospital)","Urban","Single Non AC",0,"3","0",100,6,2,117,400,5,"1","1",18,4
"31","Ram Singh Palace","Urban","Double Non AC",33,"3","0",100,24,2,134,473,3,"2","2",15,4
"32","Hotel Savera","Urban","Double Non AC",22,"3","0",100,6,2,2,500,9,"2","2",15,4
"33","Hotel Aristocrat","Urban","Double Non AC",29,"3","0",100,6,2,71,500,3,"2","2",15,4
"34","Hotel Seagull","Rural","Double Non AC",12,"3","0",22,1,2,110,1569,13,"2","2",15,2
"35","Hotel Aditya International","Rural","Double AC",5,"3","0",0,0,2,118,2323,12,"2","2",14,2
"36","Nandha Hotel","Urban","Single AC",6,"3","0",100,6,2,103,723,6,"1","1",17,4
"37","Hotel Prince","Metropolitan","Single AC",0,"3","0",100,6,2,114,1156,12,"1","1",17,1
"38","Resort Murti","Urban","Double Non AC",10,"6","0",25,1,5,2,1250,8,"2","2",15,4
"39","Neel Pahari Resort","Urban","Double Non AC",2,"6","0",100,6,2,118,1067,5,"2","2",15,4
"40","Hotel Surya Banquet","Urban","Double Non AC",5,"3","0",100,6,6,95,976,2,"2","2",15,4
"41","Hotel Waves","Rural","Double AC",2,"3","0",100,6,2,2,1355,12,"2","2",14,2
"42","Hotel Kiran Vilas Heritage","Metropolitan","Double AC",11,"3","0",100,6,2,121,2889,14,"2","2",14,1
"43","Vista Rooms at Achal Nath Temple","Metropolitan","Single AC",39,"3","0",100,6,4,115,1417,12,"2","2",17,1
"44","Hotel French Residency","Urban","Double Non AC",5,"3","0",100,6,3,148,778,5,"2","2",15,4
"45","Devi Bhawan","Metropolitan","Double AC",0,"3","0",100,6,2,92,3328,12,"2","2",14,1
"46","Jaya Residency","Urban","Single Non AC",0,"3","0",100,6,6,96,1718,2,"1","1",18,4
"47","Hotel Aryan","Urban","Single AC",0,"3","0",100,6,2,101,1268,6,"2","1",17,4
"48","Sher E Kashmir Guest House","Urban","Double Non AC",0,"4","0",100,6,2,2,473,7,"2","2",15,4
"49","Ravi Guest House","Metropolitan","Double Non AC",0,"4","0",100,6,2,2,15889,2,"2","2",15,1
"50","Dalamwala Hotel","Urban","Double AC",0,"3","0",100,6,7,148,1512,3,"2","2",14,4
"51","Hotel Amrita","Urban","Double Non AC",38,"3","0",100,6,4,112,1076,9,"2","2",15,4
"52","Hotel Himalaya","Urban","Double Non AC",19,"3","0",100,6,2,2,612,2,"2","2",15,4
"53","Hotel Maha Roopa Palace","Metropolitan","Single Non AC",29,"3","0",100,6,2,85,889,10,"1","1",18,1
"54","Hotel Shashi Palace","Urban","Single Non AC",19,"3","0",50,1,2,2,178,2,"2","1",18,4
"55","Takhat Vilas","Metropolitan","Double Non AC",12,"3","0",100,6,2,128,2250,14,"2","2",15,1
"56","Tourist Guest House","Metropolitan","Double Non AC",0,"4","0",100,6,2,2,300,2,"2","2",15,1
"57","Santosh Guest House","Metropolitan","Double Non AC",11,"4","0",100,6,2,133,889,11,"2","2",15,1
"58","Hotel The Thar Oasis Resort And Camp","Metropolitan","Single Non AC",40,"6","0",100,6,2,138,6033,2,"2","1",18,1
"59","Hotel Amrit","Metropolitan","Single Non AC",0,"3","0",100,6,4,109,436,2,"1","1",18,1
"60","Hotel Cozy Inn","Rural","Double Non AC",7,"3","0",0,16,2,116,750,10,"2","2",15,2
"61","Hotel Rajdhani","Urban","Single Non AC",28,"3","0",100,6,2,99,400,3,"1","1",18,4
"62","Hotel Ashoka","Metropolitan","Single AC",26,"3","0",100,6,5,2,936,9,"2","2",17,1
"63","Hotel Raas","Metropolitan","Double AC",6,"3","0",100,6,2,132,18606,2,"2","2",14,1
"64","Bombay Lodge","Metropolitan","Single Non AC",0,"5","0",100,6,2,95,156,2,"1","1",18,1
"65","JRDT Home Stay","Semi-urban","Double AC",19,"3","1",100,6,5,32,1112,2,"1","2",14,3
"66","Hotel Ashoka New Diamond","Urban","Double AC",53,"3","0",100,6,2,110,1413,10,"2","2",14,4
"67","Zostel Jodhpur","Metropolitan","Dormitary",9,"3","0",100,6,2,111,410,2,"2","8",13,1
"68","Jammu International Hotel","Urban","Double Non AC",34,"3","0",100,23,2,2,934,7,"2","2",15,4
"69","Chennai Palm House","Urban","3 BHK",12,"4","0",100,6,3,24,5334,2,"2","6",5,4
"70","Vijay Resorts Hotel","Metropolitan","Double AC",0,"6","0",100,6,6,125,1112,12,"2","2",14,1
"71","Eco Villa Resort","Semi-urban","Cottage",9,"8","0",100,6,3,92,1600,4,"2","2",12,3
"72","Ajit Bhawan Hotel","Metropolitan","Single Non AC",6,"3","0",100,6,2,129,8334,2,"2","1",18,1
"73","Shyam Palace Guest House","Metropolitan","Single Non AC",14,"4","0",100,6,2,104,334,10,"1","1",18,1
"74","Udupi Sree Durga Lodge","Urban","Single Non AC",4,"5","0",100,6,2,120,445,6,"1","1",18,4
"75","Mandore Guest House","Metropolitan","Double AC",45,"4","0",100,6,5,82,2667,2,"2","2",14,1
"76","Hotel Royal Galaxy","Metropolitan","Double AC",7,"3","0",100,6,5,109,1445,10,"2","2",14,1
"77","Sterling Guest House","Metropolitan","Double Non AC",0,"4","0",100,6,2,93,802,4,"2","2",15,1
"78","Hotel Pioneer Plaza","Metropolitan","Double AC",2,"3","1",100,6,2,100,1265,5,"2","2",14,1
"79","New Hotel Samrat","Rural","Double Non AC",3,"3","0",100,1,2,2,400,2,"2","2",15,2
